,,0
fips,fips,1.0
actuals.vaccinationsCompleted,actuals.vaccinationsInitiated,0.998623537738077
actuals.vaccinesDistributed,actuals.vaccinesAdministered,0.9886403775189148
actuals.vaccinationsInitiated,actuals.vaccinesAdministered,0.9852350732784919
actuals.vaccinationsCompleted,actuals.vaccinesAdministered,0.9835617791823368
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hospitalBeds.currentUsageCovid,0.9659450680374504
actuals.vaccinationsInitiated,actuals.vaccinesDistributed,0.9654762509700805
actuals.vaccinationsCompleted,actuals.vaccinesDistributed,0.9643769519537008
actuals.positiveTests,actuals.cases,0.9604503417434088
actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.capacity,0.9525689995831149
actuals.icuBeds.currentUsageTotal,actuals.icuBeds.capacity,0.9157791828281244
actuals.cases,actuals.vaccinesDistributed,0.9098522639422636
actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.currentUsageCovid,0.9067321622513308
actuals.hospitalBeds.currentUsageTotal,actuals.icuBeds.capacity,0.9063050557205341
actuals.hospitalBeds.capacity,actuals.icuBeds.capacity,0.9059735154364735
actuals.hospitalBeds.currentUsageTotal,actuals.icuBeds.currentUsageTotal,0.9026583729311446
actuals.icuBeds.currentUsageTotal,actuals.hospitalBeds.capacity,0.876579253387272
actuals.negativeTests,actuals.contactTracers,0.8688976837593846
actuals.vaccinesAdministered,actuals.cases,0.8655737596062058
actuals.deaths,actuals.vaccinesDistributed,0.8631309318135639
actuals.deaths,actuals.cases,0.8426441928885732
actuals.cases,actuals.vaccinationsInitiated,0.8333431673582749
actuals.cases,actuals.vaccinationsCompleted,0.8248870955776183
actuals.deaths,actuals.vaccinesAdministered,0.8002950842348796
actuals.negativeTests,actuals.vaccinationsCompleted,0.7960532226635586
actuals.icuBeds.currentUsageCovid,actuals.hospitalBeds.weeklyCovidAdmissions,0.7955639174212166
actuals.negativeTests,actuals.vaccinesAdministered,0.7951640784286611
actuals.negativeTests,actuals.vaccinationsInitiated,0.7929501332230469
actuals.positiveTests,actuals.vaccinesDistributed,0.7828518596274024
