date,country,state,fips,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,actuals.newDeaths,actuals.vaccinesAdministered,actuals.vaccinationsAdditionalDose,actuals.hospitalBeds.weeklyCovidAdmissions,Class
2021-08-23,US,AL,1,iso1:us#iso2:us-al,663088.0,12000.0,670538.0,4633871.0,404.0,15115.0,11827.0,2963.0,1576.0,1609.0,855.0,2588.0,5863220.0,2358550.0,1793712.0,0.0,3943465.0,0.0,2556.0,0
2021-08-24,US,AL,1,iso1:us#iso2:us-al,663088.0,12000.0,672768.0,4642546.0,404.0,15323.0,12097.0,2914.0,1588.0,1631.0,858.0,0.0,5863220.0,2368289.0,1802279.0,0.0,3963352.0,0.0,2533.0,0
2021-08-25,US,AL,1,iso1:us#iso2:us-al,663088.0,12000.0,678324.0,4659997.0,404.0,15285.0,12381.0,3044.0,1598.0,1635.0,845.0,0.0,5889060.0,2370282.0,1803904.0,0.0,3966712.0,0.0,2549.0,0
2021-08-26,US,AL,1,iso1:us#iso2:us-al,674230.0,12103.0,683037.0,4679440.0,404.0,15451.0,12372.0,2979.0,1602.0,1625.0,864.0,11142.0,5962240.0,2380869.0,1813256.0,103.0,3988529.0,0.0,2552.0,0
2021-08-27,US,AL,1,iso1:us#iso2:us-al,679263.0,12153.0,687227.0,4697673.0,404.0,15281.0,12256.0,3094.0,1589.0,1640.0,869.0,5033.0,6045390.0,2399704.0,1838347.0,50.0,4044688.0,0.0,2577.0,0
2021-08-28,US,AL,1,iso1:us#iso2:us-al,685453.0,12219.0,690548.0,4710140.0,404.0,15223.0,11917.0,3054.0,1579.0,1634.0,869.0,6190.0,6085890.0,2415007.0,1850031.0,66.0,4072870.0,0.0,2542.0,0
2021-08-29,US,AL,1,iso1:us#iso2:us-al,688886.0,12222.0,692877.0,4718364.0,404.0,15221.0,11769.0,3066.0,1582.0,1623.0,895.0,3433.0,6102830.0,2426453.0,1860445.0,3.0,4097445.0,0.0,2536.0,0
2021-08-30,US,AL,1,iso1:us#iso2:us-al,691958.0,12222.0,696719.0,4729081.0,404.0,15209.0,11968.0,3116.0,1577.0,1626.0,906.0,3072.0,6102130.0,2432879.0,1868344.0,0.0,4112942.0,0.0,2611.0,0
2021-08-31,US,AL,1,iso1:us#iso2:us-al,697164.0,12283.0,701117.0,4745012.0,404.0,15234.0,12213.0,3084.0,1577.0,1641.0,888.0,5206.0,6127400.0,2442247.0,1880276.0,61.0,4136247.0,0.0,2635.0,0
2021-09-01,US,AL,1,iso1:us#iso2:us-al,701855.0,12291.0,705876.0,4763656.0,404.0,15330.0,12394.0,3100.0,1582.0,1652.0,894.0,4691.0,6151970.0,2444342.0,1882050.0,8.0,4139337.0,0.0,2614.0,0
2021-09-02,US,AL,1,iso1:us#iso2:us-al,707167.0,12330.0,710101.0,4778759.0,404.0,15286.0,12408.0,3072.0,1581.0,1678.0,881.0,5312.0,6218000.0,2452547.0,1891063.0,39.0,4158442.0,0.0,2639.0,0
