date,country,state,fips,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,actuals.newDeaths,actuals.vaccinesAdministered,actuals.vaccinationsAdditionalDose,actuals.hospitalBeds.weeklyCovidAdmissions,Class
2021-08-23,US,CA,6,iso1:us#iso2:us-ca,4341369.0,65160.0,4279494.0,64246716.0,10600.0,62642.0,48577.0,8664.0,7187.0,5619.0,2001.0,13061.0,53702165.0,26844943.0,21740639.0,33.0,47250789.0,0.0,6935.0,1
2021-08-24,US,CA,6,iso1:us#iso2:us-ca,4352491.0,65228.0,4293633.0,64587597.0,10600.0,63197.0,50282.0,8727.0,7350.0,5845.0,2028.0,11122.0,53702165.0,26870299.0,21763355.0,68.0,47304100.0,0.0,6872.0,1
2021-08-25,US,CA,6,iso1:us#iso2:us-ca,4365584.0,65368.0,4310058.0,64925827.0,10600.0,65995.0,53153.0,8691.0,7306.0,5903.0,1979.0,13093.0,53846465.0,26910217.0,21795413.0,140.0,47379380.0,0.0,6784.0,1
2021-08-26,US,CA,6,iso1:us#iso2:us-ca,4381691.0,65483.0,4327260.0,65313280.0,10600.0,66001.0,53205.0,8783.0,7352.0,5905.0,2004.0,16107.0,54444425.0,26974994.0,21853184.0,115.0,47513370.0,0.0,6797.0,1
2021-08-27,US,CA,6,iso1:us#iso2:us-ca,4396238.0,65605.0,4344667.0,65678319.0,10600.0,66113.0,53188.0,8707.0,7323.0,5871.0,1987.0,14547.0,54679635.0,27031190.0,21902043.0,122.0,47626074.0,0.0,6754.0,1
2021-08-28,US,CA,6,iso1:us#iso2:us-ca,4410353.0,65676.0,4360246.0,66017675.0,10600.0,65540.0,52080.0,8637.0,7274.0,5854.0,2052.0,14115.0,54790845.0,27088268.0,21950260.0,71.0,47739261.0,0.0,6699.0,1
2021-08-29,US,CA,6,iso1:us#iso2:us-ca,4422246.0,65746.0,4373504.0,66226326.0,10600.0,65034.0,50920.0,8696.0,7315.0,5756.0,2089.0,11893.0,54835025.0,27151817.0,22007910.0,70.0,47870018.0,0.0,6636.0,1
2021-08-30,US,CA,6,iso1:us#iso2:us-ca,4437703.0,65793.0,4387141.0,66441145.0,10600.0,62274.0,48538.0,8745.0,7224.0,5717.0,2126.0,15457.0,54835645.0,27192156.0,22049922.0,47.0,47959156.0,0.0,6601.0,1
2021-08-31,US,CA,6,iso1:us#iso2:us-ca,4449186.0,65863.0,4403009.0,66803594.0,10600.0,62719.0,50001.0,8744.0,7262.0,5832.0,2105.0,11483.0,54948675.0,27215365.0,22075470.0,70.0,48012379.0,0.0,6536.0,1
2021-09-01,US,CA,6,iso1:us#iso2:us-ca,4471918.0,65987.0,4418363.0,67202630.0,10600.0,65699.0,52446.0,8744.0,7302.0,5938.0,2092.0,22732.0,55399765.0,27262009.0,22118872.0,124.0,48109850.0,0.0,6536.0,1
2021-09-02,US,CA,6,iso1:us#iso2:us-ca,4486276.0,66153.0,4433268.0,67595217.0,10600.0,65705.0,52600.0,8672.0,7281.0,5901.0,2105.0,14358.0,55588935.0,27313557.0,22167559.0,166.0,48220341.0,0.0,6416.0,1
2021-09-03,US,CA,6,iso1:us#iso2:us-ca,4498298.0,66297.0,4447845.0,67953790.0,10600.0,65592.0,52171.0,8510.0,7256.0,5879.0,2083.0,12022.0,55795425.0,27368201.0,22215080.0,144.0,48331013.0,0.0,6329.0,1
2021-09-04,US,CA,6,iso1:us#iso2:us-ca,4508025.0,66388.0,4459405.0,68174953.0,10600.0,64957.0,50896.0,8234.0,7199.0,5810.0,2022.0,9727.0,56163215.0,27416982.0,22259835.0,91.0,48434737.0,0.0,6199.0,1
2021-09-05,US,CA,6,iso1:us#iso2:us-ca,4518576.0,66481.0,4470684.0,68366306.0,10600.0,64495.0,49717.0,8178.0,7222.0,5727.0,2005.0,10551.0,56160235.0,27457962.0,22308559.0,93.0,48535491.0,0.0,6075.0,1
2021-09-06,US,CA,6,iso1:us#iso2:us-ca,4525630.0,66496.0,4479645.0,68490880.0,10600.0,61707.0,47130.0,8151.0,7198.0,5687.0,2020.0,7054.0,56160135.0,27494090.0,22350019.0,15.0,48619850.0,0.0,5905.0,1
2021-09-07,US,CA,6,iso1:us#iso2:us-ca,4536771.0,66569.0,4487940.0,68670758.0,10600.0,61819.0,47671.0,8052.0,7210.0,5680.0,2033.0,11141.0,56160135.0,27515288.0,22372573.0,73.0,48668051.0,0.0,5744.0,1
2021-09-08,US,CA,6,iso1:us#iso2:us-ca,4545832.0,66722.0,4501184.0,69047949.0,10600.0,65100.0,51636.0,7981.0,7263.0,5784.0,1998.0,9061.0,56187025.0,27527868.0,22385353.0,153.0,48694320.0,0.0,5555.0,1
2021-09-09,US,CA,6,iso1:us#iso2:us-ca,4556885.0,66898.0,4515268.0,69442820.0,10600.0,65307.0,52250.0,7793.0,7274.0,5851.0,1958.0,11053.0,56338765.0,27558369.0,22423380.0,176.0,48768666.0,0.0,5427.0,1
2021-09-10,US,CA,6,iso1:us#iso2:us-ca,4566746.0,67062.0,4529712.0,69866538.0,10600.0,65513.0,52513.0,7551.0,7253.0,5865.0,1932.0,9861.0,56498335.0,27602470.0,22475646.0,164.0,48873266.0,0.0,5295.0,1
2021-09-11,US,CA,6,iso1:us#iso2:us-ca,4575900.0,67149.0,4541389.0,70220754.0,10600.0,65154.0,51555.0,7387.0,7225.0,5810.0,1887.0,9154.0,56591755.0,27647806.0,22523103.0,87.0,48973719.0,0.0,5223.0,1
2021-09-12,US,CA,6,iso1:us#iso2:us-ca,4583292.0,67199.0,4551274.0,70389819.0,10600.0,64582.0,50413.0,7298.0,7232.0,5673.0,1857.0,7392.0,56585755.0,27697192.0,22576549.0,50.0,49084830.0,0.0,5060.0,1
2021-09-13,US,CA,6,iso1:us#iso2:us-ca,4599348.0,67312.0,4561503.0,70654758.0,10600.0,61979.0,47982.0,7247.0,7183.0,5640.0,1853.0,16056.0,56585755.0,27729216.0,22617135.0,113.0,49162298.0,0.0,4997.0,1
2021-09-14,US,CA,6,iso1:us#iso2:us-ca,4608094.0,67422.0,4572599.0,71023014.0,10600.0,62562.0,49487.0,7093.0,7236.0,5756.0,1849.0,8746.0,56885435.0,27748731.0,22640451.0,110.0,49207490.0,0.0,4915.0,1
2021-09-15,US,CA,6,iso1:us#iso2:us-ca,4616854.0,67647.0,4585121.0,71436033.0,10600.0,65516.0,52557.0,7000.0,7268.0,5841.0,1820.0,8760.0,57200015.0,27783996.0,22680963.0,225.0,49288453.0,0.0,4831.0,1
2021-09-16,US,CA,6,iso1:us#iso2:us-ca,4629146.0,67825.0,4596543.0,71801041.0,10600.0,65539.0,52609.0,6875.0,7243.0,5839.0,1810.0,12292.0,57110965.0,27829652.0,22731897.0,178.0,49388334.0,0.0,4749.0,1
2021-09-17,US,CA,6,iso1:us#iso2:us-ca,4639199.0,67948.0,4608354.0,72165345.0,10600.0,65129.0,52140.0,6654.0,7207.0,5787.0,1777.0,10053.0,57390915.0,27860963.0,22769456.0,123.0,49458723.0,0.0,4619.0,1
2021-09-18,US,CA,6,iso1:us#iso2:us-ca,4647462.0,68034.0,4617674.0,72420255.0,10600.0,65918.0,50835.0,6476.0,7139.0,5635.0,1746.0,8263.0,57624305.0,27894626.0,22811511.0,86.0,49538267.0,0.0,4449.0,1
2021-09-19,US,CA,6,iso1:us#iso2:us-ca,4654530.0,68106.0,4626676.0,72590207.0,10600.0,64138.0,49724.0,6425.0,7146.0,5579.0,1723.0,7068.0,57642985.0,27939552.0,22870134.0,72.0,49650661.0,0.0,4410.0,1
2021-09-20,US,CA,6,iso1:us#iso2:us-ca,4663226.0,68158.0,4634446.0,72805338.0,10600.0,61716.0,47398.0,6444.0,7159.0,5530.0,1713.0,8696.0,57639485.0,27987883.0,22932398.0,52.0,49770662.0,0.0,4324.0,1
2021-09-21,US,CA,6,iso1:us#iso2:us-ca,4669895.0,68244.0,4644206.0,73168690.0,10600.0,62476.0,49329.0,6398.0,7240.0,5726.0,1694.0,6669.0,57810985.0,27999833.0,22947662.0,86.0,49800281.0,0.0,4267.0,1
2021-09-22,US,CA,6,iso1:us#iso2:us-ca,4677452.0,68402.0,4653845.0,73533265.0,10600.0,65297.0,52241.0,6277.0,7234.0,5754.0,1673.0,7557.0,57879155.0,28059970.0,23012447.0,158.0,49932474.0,0.0,4168.0,1
2021-09-23,US,CA,6,iso1:us#iso2:us-ca,4687178.0,68532.0,4664420.0,73927627.0,10600.0,65463.0,52372.0,6224.0,7226.0,5771.0,1638.0,9726.0,57988065.0,28137127.0,23093239.0,130.0,50100113.0,0.0,4074.0,1
2021-09-24,US,CA,6,iso1:us#iso2:us-ca,4694673.0,68710.0,4674032.0,74314499.0,10600.0,65220.0,51778.0,6030.0,7183.0,5665.0,1586.0,7495.0,58025345.0,28172826.0,23132161.0,178.0,50180738.0,0.0,4023.0,1
2021-09-25,US,CA,6,iso1:us#iso2:us-ca,4696228.0,68740.0,4682266.0,74592872.0,10600.0,64775.0,50660.0,5862.0,7134.0,5593.0,1572.0,1555.0,58124805.0,28204882.0,23168857.0,30.0,50255214.0,0.0,3965.0,1
2021-09-26,US,CA,6,iso1:us#iso2:us-ca,4697407.0,68756.0,4689984.0,74747966.0,10600.0,64167.0,49260.0,5776.0,7123.0,5466.0,1554.0,1179.0,58117645.0,28248056.0,23215969.0,16.0,50366708.0,0.0,3854.0,1
2021-09-27,US,CA,6,iso1:us#iso2:us-ca,4717357.0,68917.0,4696200.0,74902792.0,10600.0,61417.0,46861.0,5657.0,7066.0,5367.0,1495.0,19950.0,58118205.0,28268247.0,23237272.0,161.0,50419967.0,0.0,3739.0,1
2021-09-28,US,CA,6,iso1:us#iso2:us-ca,4722662.0,68985.0,4705138.0,75205961.0,10600.0,62105.0,48571.0,5586.0,7110.0,5544.0,1444.0,5305.0,58271295.0,28284147.0,23255045.0,68.0,50470695.0,0.0,3619.0,1
2021-09-29,US,CA,6,iso1:us#iso2:us-ca,4729805.0,69133.0,4715133.0,75596573.0,10600.0,64961.0,51407.0,5432.0,7099.0,5602.0,1415.0,7143.0,58332165.0,28309785.0,23278003.0,148.0,50546180.0,0.0,3524.0,1
