,fips,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,actuals.newDeaths,actuals.vaccinesAdministered,actuals.vaccinationsAdditionalDose,actuals.hospitalBeds.weeklyCovidAdmissions,Class
fips,1.0,-0.39221445565133034,-0.04424873359888197,-0.3688868099596229,-0.5349270512812061,-0.23014543562193557,-0.12993119662360786,-0.1710160149764409,0.10793066522671994,-0.3241636946844272,-0.0015658970964693693,0.1768581863084897,-0.046900656165029316,-0.4076664870177736,-0.5174908966032784,-0.49452528680304697,0.021200213782482928,-0.4798185092852604,-0.1858859161761395,0.0798231700852104,
actuals.cases,-0.39221445565133034,1.0,0.8426441928885733,0.9604503417434089,0.4358673428132604,0.07411954217159444,0.7534001318949529,0.6986271071644903,0.21939334658122625,0.705341053364909,0.5838442851570047,0.18988385260075497,0.31246048936210635,0.9098522639422637,0.833343167358275,0.8248870955776185,0.03161807237977396,0.865573759606206,0.5821989351385364,0.23381068609094477,
actuals.deaths,-0.04424873359888197,0.8426441928885733,1.0,0.7605108740303779,0.39820281333885427,0.1759852707803597,0.6454975628788916,0.5169537407812198,-0.1295404057680119,0.46016797472394805,0.3699455473900777,-0.09635464242900407,0.10980500280272561,0.8631309318135639,0.7504452859455996,0.7660303773686327,-0.14558847636286804,0.8002950842348798,0.5731551270815018,-0.1182167911476363,
actuals.positiveTests,-0.3688868099596229,0.9604503417434089,0.7605108740303779,1.0,0.24905651349016408,-0.16461105573989873,0.7474793692088242,0.6874679674687468,0.2633538081387311,0.7075736550694559,0.6173569757640678,0.20692908674778623,0.3657844769884053,0.7828518596274026,0.6659868812984301,0.651778273105697,0.061278276999577684,0.7210155116276041,0.6058357595184503,0.3187441697210981,
actuals.negativeTests,-0.5349270512812061,0.4358673428132604,0.39820281333885427,0.24905651349016408,1.0,0.8688976837593845,-0.03497201279170062,0.002811928548476904,-0.1459776279908792,-0.011362787371281836,-0.25448272454183063,-0.2814619791136137,0.20046860718044784,0.707425609647404,0.7929501332230469,0.7960532226635586,-0.2022314665997461,0.7951640784286612,0.5067742316239267,-0.15413552949995338,
actuals.contactTracers,-0.23014543562193557,0.07411954217159444,0.1759852707803597,-0.16461105573989873,0.8688976837593845,1.0,-0.26440710428655656,-0.2100308672988324,-0.16910698748767317,-0.269912541922346,-0.4331984509607933,-0.26306550034179027,0.06443239965017454,0.4153658049495891,0.5572619896347174,0.5732574631298155,-0.222961103499916,0.5210220105197023,0.16877299363866158,-0.22059367229480706,
actuals.hospitalBeds.capacity,-0.12993119662360786,0.7534001318949529,0.6454975628788916,0.7474793692088242,-0.03497201279170062,-0.26440710428655656,1.0,0.9525689995831149,0.2897616213246022,0.9059735154364734,0.876579253387272,0.47209959719961536,-0.02387770658622646,0.6014718465487922,0.5407447887566245,0.5319113436549324,0.2053475882579834,0.51813006580425,0.11369431883542161,0.22963157217708796,
actuals.hospitalBeds.currentUsageTotal,-0.1710160149764409,0.6986271071644903,0.5169537407812198,0.6874679674687468,0.002811928548476904,-0.2100308672988324,0.9525689995831149,1.0,0.43032659847031973,0.9063050557205337,0.9026583729311448,0.5883191335961969,0.04461217278207071,0.5569642856660357,0.5239488970885032,0.5093286608253387,0.2964931888215873,0.48994993826483263,0.07221266536230017,0.35939965258893225,
actuals.hospitalBeds.currentUsageCovid,0.10793066522671994,0.21939334658122625,-0.1295404057680119,0.2633538081387311,-0.1459776279908792,-0.16910698748767317,0.2897616213246022,0.43032659847031973,1.0,0.38871137356254093,0.5884741071745193,0.9067321622513308,0.4881096513722545,0.03982880548472964,0.034776475598851,0.003722538695247803,0.3726847643933816,0.024292589133382284,-0.003029038462124632,0.9659450680374504,
actuals.icuBeds.capacity,-0.3241636946844272,0.705341053364909,0.46016797472394805,0.7075736550694559,-0.011362787371281836,-0.269912541922346,0.9059735154364734,0.9063050557205337,0.38871137356254093,1.0,0.9157791828281245,0.5840370651217819,-0.017673479807385397,0.5460159127737296,0.5365627743624629,0.5158558679666143,0.2639495115641569,0.4868604480250761,0.012665091513916534,0.3068739806614102,
