,fips,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,actuals.newDeaths,actuals.vaccinesAdministered,actuals.vaccinationsAdditionalDose,actuals.hospitalBeds.weeklyCovidAdmissions,Class
fips,1.0,-0.1745976183384271,-0.23789240774655226,-0.17803260743946367,-0.16620979095181498,-0.16012812862177006,-0.24043733857110328,-0.24547433174978478,-0.09380503517519441,-0.21705752242126738,-0.24256535076422608,-0.052572470172208265,-0.037102626301604415,-0.18378169426389382,-0.16119293263044915,-0.16179224380821133,-0.06856714172328177,-0.16710009900701678,-0.06922546223960287,-0.07609287792818309,
actuals.cases,-0.1745976183384271,1.0,0.9320112836140857,0.9219130832501228,0.708504348672804,0.6778175747454033,0.9317425837040331,0.9198232554351127,0.7388390890001918,0.9088258189739862,0.9215557187791951,0.7444626331706458,0.24185374871362988,0.9057535730750341,0.8804046682800941,0.8734024234461122,0.24775313412364386,0.8865027491336639,0.3281208043148701,0.7151326229077553,
actuals.deaths,-0.23789240774655226,0.9320112836140857,1.0,0.8573413880107451,0.6542239422748932,0.582643690325367,0.9338164241257612,0.9307154355445566,0.6793449294535945,0.9220556752609677,0.9233325439960205,0.6582469002084375,0.19557282881037735,0.8752111015486121,0.8429188642060008,0.8351320542037769,0.23784496043904096,0.8494721367932838,0.3120768780534556,0.630265522511835,
actuals.positiveTests,-0.17803260743946367,0.9219130832501228,0.8573413880107451,1.0,0.8191118933145358,0.7199836370350895,0.8560145501803835,0.8747976763321162,0.7241701035295546,0.8413947092419443,0.841884516336335,0.7034236522821039,0.24541859111019834,0.8938822787982145,0.8938874566778369,0.8883238124101782,0.23234119825483127,0.8960018076010516,0.2935802710112732,0.7016927028250863,
actuals.negativeTests,-0.16620979095181498,0.708504348672804,0.6542239422748932,0.8191118933145358,1.0,0.6176820925113797,0.6823295812573733,0.7441084636801701,0.5248833746208798,0.6910321393187996,0.6678783043539577,0.46068618469157624,0.1879341088872601,0.8337176406352144,0.8490035495626065,0.849464003126703,0.18315471439516975,0.8490272418195256,0.2722066942209648,0.4609875637407007,
actuals.contactTracers,-0.16012812862177006,0.6778175747454033,0.582643690325367,0.7199836370350895,0.6176820925113797,1.0,0.6328699859342632,0.6647302111207696,0.5727247992327567,0.6684499496036601,0.6479865507775195,0.5742319591142003,0.20731113273041457,0.6968123255997309,0.7200117537785353,0.717441355504199,0.20776759670199943,0.7138372868157633,0.15143870472528229,0.5578389794310642,
actuals.hospitalBeds.capacity,-0.24043733857110328,0.9317425837040331,0.9338164241257612,0.8560145501803835,0.6823295812573733,0.6328699859342632,1.0,0.9853847724286676,0.7673405571018771,0.9759064047337592,0.9822169472724834,0.7667434925029253,0.23003129383641518,0.9074200034563857,0.8945414517933764,0.885672555700956,0.2639836075424865,0.8876101105227246,0.1764177214885146,0.7235918351558279,
actuals.hospitalBeds.currentUsageTotal,-0.24547433174978478,0.9198232554351127,0.9307154355445566,0.8747976763321162,0.7441084636801701,0.6647302111207696,0.9853847724286676,1.0,0.777417188516436,0.9707897180434623,0.977439170589653,0.7524931167031148,0.2568570877531194,0.9297258451346758,0.9198981485399629,0.9109875920593187,0.29101734451050576,0.9123983386873008,0.18877295706016464,0.714838424943629,
actuals.hospitalBeds.currentUsageCovid,-0.09380503517519441,0.7388390890001918,0.6793449294535945,0.7241701035295546,0.5248833746208798,0.5727247992327567,0.7673405571018771,0.777417188516436,1.0,0.7607004427163542,0.8031947941769744,0.9497448543988114,0.37889419623588294,0.7389111065573128,0.7405031854964352,0.7284004975389683,0.3068478359647098,0.7309278836806135,0.07576099766895893,0.9519414692018768,
actuals.icuBeds.capacity,-0.21705752242126738,0.9088258189739862,0.9220556752609677,0.8413947092419443,0.6910321393187996,0.6684499496036601,0.9759064047337592,0.9707897180434623,0.7607004427163542,1.0,0.983386366535634,0.7715233315728438,0.2443159916341574,0.9043184615257955,0.8963481836930367,0.8857853748300389,0.2845460741041154,0.8866389450102676,0.16704363845008902,0.7145208580860816,
