date,country,state,fips,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,riskLevels.caseDensity,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,metrics.bedsWithCovidPatientsRatio,actuals.hospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.canCommunityLevel,Class
2021-08-23,US,AK,2,iso1:us#iso2:us-ak,83581.0,397.0,131534.0,2663834.0,235.0,1594.0,1038.0,130.0,123.0,93.0,34.0,1112.0,895645.0,389663.0,341079.0,0.073,65.9,0.1,1.11,0.1,0.76,3,0.533,0.466,0.0,717197.0,3,3,0.0,0.0,461.2,0.082,116.0,15.9,2.0,1
2021-08-24,US,AK,2,iso1:us#iso2:us-ak,84174.0,410.0,132426.0,2673669.0,235.0,1449.0,973.0,131.0,124.0,103.0,39.0,593.0,895645.0,390953.0,342075.0,0.075,68.7,0.09,1.1,0.1,0.83,3,0.534,0.468,13.0,720003.0,3,3,0.0,0.0,480.9,0.09,121.0,16.5,2.0,1
2021-08-25,US,AK,2,iso1:us#iso2:us-ak,84794.0,421.0,133270.0,2682974.0,235.0,1641.0,1117.0,128.0,126.0,102.0,35.0,620.0,898425.0,391775.0,342651.0,0.077,67.9,0.09,1.1,0.1,0.81,3,0.536,0.468,11.0,721608.0,3,3,0.0,0.0,475.3,0.078,118.0,16.1,2.0,1
2021-08-26,US,AK,2,iso1:us#iso2:us-ak,85521.0,421.0,134103.0,2693241.0,235.0,1641.0,1146.0,156.0,123.0,97.0,37.0,727.0,917465.0,392662.0,343274.0,0.078,68.8,0.09,1.09,0.1,0.79,3,0.537,0.469,0.0,723342.0,3,3,0.0,0.0,481.3,0.095,134.0,18.3,2.0,1
2021-08-27,US,AK,2,iso1:us#iso2:us-ak,86055.0,421.0,134871.0,2702997.0,235.0,1656.0,1132.0,155.0,121.0,99.0,41.0,534.0,927345.0,393512.0,343905.0,0.078,70.0,0.09,1.09,0.1,0.82,3,0.538,0.47,0.0,724964.0,3,3,0.0,0.0,490.2,0.094,127.0,17.4,2.0,1
2021-08-28,US,AK,2,iso1:us#iso2:us-ak,86055.0,421.0,135337.0,2707436.0,235.0,1637.0,1125.0,154.0,125.0,104.0,38.0,0.0,929945.0,394238.0,344325.0,0.08,70.3,0.09,1.08,0.1,0.83,3,0.539,0.471,0.0,726501.0,3,3,0.0,0.0,491.8,0.094,131.0,17.9,2.0,1
2021-08-29,US,AK,2,iso1:us#iso2:us-ak,86055.0,421.0,135836.0,2712509.0,235.0,1632.0,1091.0,154.0,123.0,100.0,37.0,0.0,930085.0,394485.0,344466.0,0.081,70.5,0.09,1.08,0.1,0.81,3,0.539,0.471,0.0,726856.0,3,3,0.0,0.0,493.5,0.094,135.0,18.5,2.0,1
2021-08-30,US,AK,2,iso1:us#iso2:us-ak,87203.0,421.0,136841.0,2724936.0,235.0,1430.0,967.0,158.0,120.0,100.0,34.0,1148.0,930085.0,396069.0,345090.0,0.08,70.7,0.09,1.08,0.1,0.83,3,0.541,0.472,0.0,729517.0,3,3,0.0,0.0,495.1,0.11,141.0,19.3,2.0,1
2021-08-31,US,AK,2,iso1:us#iso2:us-ak,87842.0,427.0,137836.0,2736737.0,235.0,1467.0,1012.0,175.0,122.0,103.0,42.0,639.0,933585.0,396543.0,345364.0,0.079,71.6,0.09,1.08,0.1,0.84,3,0.542,0.472,6.0,730407.0,3,3,0.0,0.0,501.4,0.119,152.0,20.8,2.0,1
2021-09-01,US,AK,2,iso1:us#iso2:us-ak,88633.0,431.0,138707.0,2746344.0,235.0,1655.0,1136.0,181.0,121.0,106.0,40.0,791.0,957905.0,397332.0,345826.0,0.079,75.0,0.09,1.08,0.1,0.88,3,0.543,0.473,4.0,731751.0,3,3,0.0,0.0,524.8,0.109,159.0,21.7,2.0,1
