,fips,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,riskLevels.caseDensity,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,metrics.bedsWithCovidPatientsRatio,actuals.hospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.canCommunityLevel,Class
fips,1.0,-0.017981863451657046,-0.06483436317326766,-0.008675591555966514,-0.04058678411769761,-0.07981778245708109,0.0038408470472756926,-0.0031775540646599926,-0.03780570653011429,0.03452154018262004,-0.008864194100442755,-0.044853238362775716,-0.012081029875059946,0.01431234635922047,0.025151055602579405,0.020777186527925165,-0.035460657610461854,0.0021204878255101215,-0.07360336858936939,0.02873007623030234,0.03940479048355698,-0.2772014539699155,-0.01699247107528009,0.08283224246924285,0.09765448883787173,-0.006017211565606367,0.025527121698312834,-0.01699247107528009,,0.0356458641967927,0.1079742908008094,0.0021189096816547457,-0.13007241696695163,-0.06804604649282482,-0.14127513537120964,,
actuals.cases,-0.017981863451657046,1.0,0.9653441449259651,0.9536601130971053,0.7828589911232047,0.7355974532175066,0.9495023408111175,0.9427342909954266,0.8933654390646963,0.9292055829892898,0.9026939173782592,0.8011854507554818,0.48914794075420054,0.9537819245960447,0.9305616599415604,0.9472024769591705,0.10916240835247837,-0.06391716003309904,-0.04416878593884628,-0.07779014095740776,-0.04387384627122138,-0.1199691668724877,-0.3694759072745863,0.06018800330229381,0.05451367246232045,0.4107420065860907,0.9455888528240082,-0.3694759072745863,,0.8011831151735168,0.12410179201195566,-0.06393372003296982,0.32540260687817346,0.8596176139916811,0.03350670520876465,,
actuals.deaths,-0.06483436317326766,0.9653441449259651,1.0,0.9135465908089069,0.7630962635567998,0.6950407853972961,0.9552200341066704,0.9590014869895527,0.8736467436986144,0.9352837034856039,0.9080177687391764,0.7806305369109371,0.44152665880095343,0.9559149133475435,0.9418480010501546,0.9407919902144295,0.07381732110541506,-0.1141909214769652,-0.03477838681239172,-0.06395871994706204,-0.04091518445910871,-0.11208587029235502,-0.403228799979677,0.08481910937620614,0.036304455487424316,0.4088191901838862,0.9364078632521204,-0.403228799979677,,0.7394795809920988,0.06042713422761578,-0.11420719120342741,0.2880204958010207,0.8221582536195773,0.009874736073700508,,
actuals.positiveTests,-0.008675591555966514,0.9536601130971053,0.9135465908089069,1.0,0.8393560890192988,0.7230440954264429,0.8805150644251288,0.883075071505439,0.8396524447593584,0.8496993432368465,0.8160273618034076,0.7164243866786124,0.48603969590738577,0.9505312039856212,0.9284186158784081,0.9477547160761338,0.09455989477716938,-0.04217782951216571,-0.04558207908488944,-0.05438367278413689,-0.044330830734340305,-0.14413704977156655,-0.3539140812507657,0.18198916999143233,0.1908315794869528,0.3943456821377126,0.9512178014373648,-0.3539140812507657,,0.8571951122588946,0.22964645724054097,-0.04218324921651985,0.3644249973927169,0.8013994166994108,0.00529465314885214,,
actuals.negativeTests,-0.04058678411769761,0.7828589911232047,0.7630962635567998,0.8393560890192988,1.0,0.8193431868993728,0.7383592748499522,0.7388962114812084,0.6305566123629456,0.6574073954382645,0.602522204481422,0.49822563170153533,0.4326088075399922,0.8428105877650366,0.8463680452715748,0.8665885481153643,-0.14586079706246147,0.034317777745717315,0.10069088905709991,-0.016972024159955426,-0.027603185818340405,-0.21736809377208868,-0.26504170367694146,0.40478732072227047,0.41755142213767005,0.30150758106271597,0.8717805004549366,-0.26504170367694146,,0.8386683726534089,0.3488599606798545,0.03431728293669348,0.1603178430165509,0.6004591615731776,-0.11114995064975589,,
actuals.contactTracers,-0.07981778245708109,0.7355974532175066,0.6950407853972961,0.7230440954264429,0.8193431868993728,1.0,0.7307647402029316,0.6897804052216822,0.6465151640200495,0.6895297759591585,0.6050089259190923,0.5425570421342074,0.42984394251678104,0.7560500469461151,0.7658334237181775,0.7895149355414844,-0.06667473357422958,0.02952918007119708,0.33640190990204466,-0.0348510888577804,-0.03455645842761037,-0.31602830732165027,-0.20152319474029903,0.2168611808962388,0.22805195973398168,0.24239662080661145,0.7782731086010382,-0.20152319474029903,,0.6807051528072358,0.14822235466077519,0.02952105566261859,0.19998534232172446,0.6606757528467078,0.05414901183863796,,
actuals.hospitalBeds.capacity,0.0038408470472756926,0.9495023408111175,0.9552200341066704,0.8805150644251288,0.7383592748499522,0.7307647402029316,1.0,0.9910372574780414,0.8942778955989539,0.9842169059411542,0.963227102156432,0.8572016345938639,0.3881104736477311,0.9351311390272449,0.9300140117238127,0.9360507595500682,-0.009050684967952817,-0.19470452714084488,0.039512039916691354,-0.14462351158424683,-0.042371697558696485,-0.08938467460816167,-0.43495066667673954,-0.013633814008455935,-0.050405151858064365,0.39714158634824054,0.9209892398526209,-0.43495066667673954,,0.681452417843976,-0.04206344864652271,-0.19472241488254238,0.2802147589328137,0.8467833212740095,0.05059388089908389,,
actuals.hospitalBeds.currentUsageTotal,-0.0031775540646599926,0.9427342909954266,0.9590014869895527,0.883075071505439,0.7388962114812084,0.6897804052216822,0.9910372574780414,1.0,0.9038623741154354,0.9747001841625074,0.9710694331078402,0.8644083496280813,0.38280334129339966,0.938970155378247,0.9349726873774701,0.9351235758392944,-0.029462708296399347,-0.20301505098195108,0.021255722014901727,-0.16945505376591774,-0.041552761268321144,-0.023610748131973593,-0.44687094419920387,0.004040108631830298,-0.04285760723343274,0.42315281736507854,0.9209674769871511,-0.44687094419920387,,0.669398787968037,-0.04408211377787061,-0.203033031531764,0.3145579238018086,0.8501021996475431,0.05464601006705978,,
actuals.hospitalBeds.currentUsageCovid,-0.03780570653011429,0.8933654390646963,0.8736467436986144,0.8396524447593584,0.6305566123629456,0.6465151640200495,0.8942778955989539,0.9038623741154354,1.0,0.9002777793956911,0.9065274994965835,0.9295683757348365,0.4597932226643884,0.8502703689943367,0.8327588263180741,0.8392832039337265,0.06286299570325368,-0.042496085863578704,-0.11380093419875113,-0.32986749917645386,-0.03854867081144483,0.0247860433963071,-0.2701427665778711,-0.05771481773830606,-0.09184411932839599,0.43411712071099257,0.8258066858389655,-0.2701427665778711,,0.6136758194774654,-0.07150924798838611,-0.0425229010577774,0.6173823296832631,0.9653918144575887,0.2858950201018774,,
actuals.icuBeds.capacity,0.03452154018262004,0.9292055829892898,0.9352837034856039,0.8496993432368465,0.6574073954382645,0.6895297759591585,0.9842169059411542,0.9747001841625074,0.9002777793956911,1.0,0.9775489013533122,0.8794739088701795,0.37474009970208144,0.9034483032762385,0.8951545171682573,0.9020410930988838,-0.009640863840517731,-0.21941515607263387,0.04629737806514245,-0.1738600187596516,-0.03994091466737605,-0.10521378932208075,-0.44910457811882365,-0.07141828417419563,-0.10264598993150156,0.40820050719163303,0.8832627457846871,-0.44910457811882365,,0.6279255320605358,-0.08984420067724336,-0.21943826514350306,0.3169804732655736,0.8574692530563761,0.0844226340372692,,
