,,0
fips,fips,1.0
metrics.weeklyNewCasesPer100k,metrics.caseDensity,0.9999999218636362
actuals.vaccinationsCompleted,actuals.vaccinationsInitiated,0.9986264779385478
riskLevels.overall,riskLevels.caseDensity,0.9923847823103465
actuals.vaccinesAdministered,actuals.vaccinesDistributed,0.9886065627887464
actuals.vaccinationsInitiated,actuals.vaccinesAdministered,0.985203504209577
actuals.vaccinesAdministered,actuals.vaccinationsCompleted,0.9835593498991559
actuals.hospitalBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,0.976696451435643
actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.weeklyCovidAdmissions,0.9659404350825272
actuals.vaccinesDistributed,actuals.vaccinationsInitiated,0.9653381001658203
actuals.vaccinesDistributed,actuals.vaccinationsCompleted,0.9642467739490199
actuals.positiveTests,actuals.cases,0.960482001285128
actuals.hospitalBeds.weeklyCovidAdmissions,metrics.bedsWithCovidPatientsRatio,0.9543376625077968
actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,0.9510330645404745
metrics.vaccinationsCompletedRatio,metrics.vaccinationsInitiatedRatio,0.9391137007537764
actuals.hospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,0.9389221023293152
metrics.weeklyCovidAdmissionsPer100k,metrics.bedsWithCovidPatientsRatio,0.928097972111922
metrics.vaccinationsAdditionalDoseRatio,actuals.vaccinationsAdditionalDose,0.9203832551435843
actuals.icuBeds.currentUsageTotal,actuals.icuBeds.capacity,0.9155751527512319
actuals.vaccinesDistributed,actuals.cases,0.9094886822295594
actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.currentUsageCovid,0.9070283645056536
actuals.icuBeds.capacity,actuals.hospitalBeds.currentUsageTotal,0.9045479311033623
actuals.hospitalBeds.currentUsageTotal,actuals.icuBeds.currentUsageTotal,0.9045125281014226
actuals.hospitalBeds.capacity,actuals.icuBeds.capacity,0.9039692965250841
metrics.weeklyCovidAdmissionsPer100k,actuals.hospitalBeds.currentUsageCovid,0.8825711004893845
actuals.hospitalBeds.capacity,actuals.icuBeds.currentUsageTotal,0.877097276277286
actuals.contactTracers,actuals.negativeTests,0.8687364880794554
metrics.icuCapacityRatio,actuals.icuBeds.currentUsageTotal,0.8681356593204947
actuals.deaths,actuals.vaccinesDistributed,0.8654503040428024
actuals.vaccinesAdministered,actuals.cases,0.8650789023267345
actuals.deaths,actuals.cases,0.8445087625328132
actuals.vaccinationsInitiated,actuals.cases,0.8326355151898244
