date,country,state,fips,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,riskLevels.caseDensity,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,metrics.bedsWithCovidPatientsRatio,actuals.hospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.canCommunityLevel,Class
2021-09-20,US,AK,2,iso1:us#iso2:us-ak,101698.0,457.0,155174.0,2890832.0,235.0,1375.0,985.0,198.0,130.0,114.0,46.0,2108.0,1025415.0,413884.0,360262.0,0.104,113.7,0.06,1.14,0.1,0.88,5,0.566,0.492,5.0,769334.0,5,3,0.0,0.0,795.6,0.144,188.0,25.7,2.0,0
2021-09-21,US,AK,2,iso1:us#iso2:us-ak,102551.0,463.0,156326.0,2902092.0,235.0,1381.0,1009.0,216.0,131.0,105.0,46.0,853.0,1025835.0,414037.0,360740.0,0.101,116.9,0.05,1.13,0.1,0.8,5,0.566,0.493,6.0,769981.0,5,3,0.0,0.0,818.0,0.156,186.0,25.4,2.0,0
2021-09-22,US,AK,2,iso1:us#iso2:us-ak,103795.0,464.0,157483.0,2912758.0,235.0,1592.0,1193.0,215.0,127.0,114.0,44.0,1244.0,1027135.0,414509.0,362250.0,0.099,119.9,0.05,1.12,0.1,0.9,5,0.567,0.495,1.0,772176.0,5,3,0.0,0.0,839.2,0.135,179.0,24.5,2.0,0
2021-09-23,US,AK,2,iso1:us#iso2:us-ak,105110.0,471.0,158564.0,2922188.0,235.0,1606.0,1223.0,227.0,128.0,113.0,47.0,1315.0,1032665.0,415478.0,363764.0,0.1,125.0,0.05,1.11,0.1,0.88,5,0.568,0.497,7.0,775149.0,5,3,0.0,0.0,875.1,0.141,188.0,25.7,2.0,0
2021-09-25,US,AK,2,iso1:us#iso2:us-ak,106888.0,515.0,159997.0,2934394.0,235.0,1574.0,1172.0,231.0,129.0,114.0,49.0,0.0,1043135.0,415735.0,364112.0,0.1,154.8,0.05,1.08,0.1,0.88,5,0.568,0.498,0.0,775688.0,5,3,0.0,0.0,1083.8,0.147,182.0,24.9,2.0,0
2021-09-26,US,AK,2,iso1:us#iso2:us-ak,106888.0,515.0,160586.0,2938755.0,235.0,1554.0,1130.0,212.0,127.0,107.0,44.0,0.0,1044305.0,415883.0,364282.0,0.101,167.1,0.05,1.06,0.1,0.84,5,0.568,0.498,0.0,775975.0,5,3,0.0,0.0,1169.9,0.136,171.0,23.4,2.0,0
2021-09-27,US,AK,2,iso1:us#iso2:us-ak,110887.0,535.0,162053.0,2950939.0,235.0,1361.0,988.0,212.0,130.0,110.0,47.0,3999.0,1044305.0,417709.0,368423.0,0.103,179.4,0.04,1.04,0.1,0.85,5,0.571,0.504,20.0,786285.0,5,3,0.0,0.0,1256.1,0.156,174.0,23.8,2.0,0
2021-09-28,US,AK,2,iso1:us#iso2:us-ak,111572.0,545.0,163182.0,2961729.0,235.0,1378.0,1034.0,217.0,130.0,111.0,45.0,685.0,1048375.0,417974.0,368741.0,0.103,176.2,0.04,1.02,0.1,0.85,5,0.571,0.504,10.0,787670.0,5,3,0.0,0.0,1233.1,0.157,170.0,23.2,2.0,0
2021-09-29,US,AK,2,iso1:us#iso2:us-ak,112568.0,549.0,164358.0,2971635.0,235.0,1576.0,1183.0,215.0,132.0,110.0,45.0,996.0,1055125.0,418566.0,369526.0,0.105,171.3,0.04,1.0,0.1,0.83,5,0.572,0.505,4.0,790277.0,5,3,0.0,0.0,1199.2,0.136,167.0,22.8,2.0,0
2021-09-30,US,AK,2,iso1:us#iso2:us-ak,113835.0,559.0,165332.0,2980393.0,235.0,1578.0,1136.0,207.0,127.0,109.0,43.0,1267.0,1058945.0,419056.0,370114.0,0.104,170.4,0.04,0.98,0.1,0.86,5,0.573,0.506,10.0,792368.0,5,3,0.0,0.0,1192.7,0.131,159.0,21.7,2.0,0
2021-10-01,US,AK,2,iso1:us#iso2:us-ak,114867.0,560.0,166223.0,2988673.0,235.0,1574.0,1134.0,228.0,134.0,106.0,41.0,1032.0,1062155.0,419730.0,370883.0,0.103,155.8,0.04,0.97,0.1,0.79,5,0.574,0.507,1.0,794992.0,5,3,0.0,0.0,1090.7,0.145,162.0,22.1,2.0,0
2021-10-02,US,AK,2,iso1:us#iso2:us-ak,114867.0,560.0,166751.0,2992783.0,235.0,1574.0,1156.0,229.0,124.0,112.0,40.0,0.0,1069475.0,420423.0,371493.0,0.104,144.3,0.04,0.95,0.1,0.9,5,0.575,0.508,0.0,798038.0,5,3,0.0,0.0,1010.2,0.145,160.0,21.9,2.0,0
2021-10-03,US,AK,2,iso1:us#iso2:us-ak,114867.0,560.0,167347.0,2997045.0,235.0,1567.0,1133.0,228.0,127.0,108.0,41.0,0.0,1075325.0,420472.0,371510.0,0.104,132.8,0.04,0.94,0.1,0.85,5,0.575,0.508,0.0,798055.0,5,3,0.0,0.0,929.7,0.146,164.0,22.4,2.0,0
2021-10-13,US,AK,2,iso1:us#iso2:us-ak,124942.0,594.0,178349.0,3080178.0,235.0,1602.0,1229.0,225.0,130.0,109.0,35.0,1226.0,1095895.0,424831.0,375482.0,0.118,119.8,0.05,0.94,0.1,0.84,5,0.581,0.513,0.0,818386.0,5,3,0.0,0.0,838.4,0.14,177.0,24.2,2.0,0
2021-10-14,US,AK,2,iso1:us#iso2:us-ak,125909.0,596.0,179418.0,3087622.0,235.0,1599.0,1198.0,216.0,134.0,108.0,32.0,967.0,1097095.0,425519.0,376113.0,0.12,122.0,0.05,0.94,0.1,0.81,5,0.582,0.514,2.0,820703.0,5,3,0.0,0.0,853.9,0.135,179.0,24.5,2.0,0
2021-10-15,US,AK,2,iso1:us#iso2:us-ak,126893.0,599.0,180466.0,3094833.0,235.0,1596.0,1173.0,221.0,132.0,99.0,33.0,984.0,1108945.0,426234.0,376935.0,0.122,124.9,0.05,0.94,0.1,0.75,5,0.583,0.515,3.0,823566.0,5,3,0.0,0.0,874.5,0.138,182.0,24.9,2.0,0
2021-10-16,US,AK,2,iso1:us#iso2:us-ak,126893.0,599.0,180970.0,3098176.0,235.0,1586.0,1152.0,222.0,133.0,111.0,38.0,0.0,1110405.0,426807.0,377834.0,0.12,120.7,0.05,0.94,0.1,0.83,5,0.583,0.516,0.0,827164.0,5,3,0.0,0.0,844.6,0.14,188.0,25.7,2.0,0
2021-10-17,US,AK,2,iso1:us#iso2:us-ak,126893.0,599.0,181472.0,3101719.0,235.0,1598.0,1167.0,221.0,133.0,117.0,38.0,0.0,1109985.0,426843.0,377858.0,0.121,116.4,0.05,0.94,0.1,0.88,5,0.583,0.517,0.0,827193.0,5,3,0.0,0.0,814.8,0.138,181.0,24.7,2.0,0
