,,0
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hospitalBeds.weeklyCovidAdmissions,1.0
actuals.vaccinationsCompleted,actuals.vaccinationsInitiated,0.9935908540902096
actuals.vaccinesDistributed,actuals.vaccinationsInitiated,0.9921426124102193
actuals.vaccinesAdministered,actuals.vaccinesDistributed,0.9860808871007235
actuals.vaccinesAdministered,actuals.vaccinationsInitiated,0.9822365182110022
actuals.vaccinesAdministered,actuals.vaccinationsCompleted,0.9820664678053225
actuals.vaccinesDistributed,actuals.vaccinationsCompleted,0.9816999395040735
actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.weeklyCovidAdmissions,0.9759283038360121
actuals.cases,actuals.vaccinesDistributed,0.9667206059303761
actuals.cases,actuals.positiveTests,0.9639187195568413
actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,0.9438146189386142
actuals.deaths,actuals.vaccinesDistributed,0.9396131658692981
actuals.vaccinationsInitiated,actuals.cases,0.939487251721309
actuals.cases,actuals.vaccinesAdministered,0.9371666109011231
actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.currentUsageCovid,0.9350471270924928
actuals.vaccinationsInitiated,actuals.deaths,0.9248238668940617
actuals.vaccinesAdministered,actuals.deaths,0.9225933897173834
actuals.deaths,actuals.vaccinationsCompleted,0.9196043330888412
actuals.cases,actuals.deaths,0.9185214771946962
actuals.vaccinationsCompleted,actuals.cases,0.9117673992378003
actuals.positiveTests,actuals.deaths,0.9106406662983347
actuals.vaccinesDistributed,actuals.positiveTests,0.9052928265000978
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.icuBeds.currentUsageCovid,0.8832507824303436
actuals.vaccinesAdministered,actuals.positiveTests,0.8784892422665151
actuals.icuBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageTotal,0.8750110542175316
actuals.icuBeds.capacity,actuals.hospitalBeds.currentUsageTotal,0.8671229772960537
actuals.vaccinationsInitiated,actuals.positiveTests,0.8608798857741466
actuals.hospitalBeds.capacity,actuals.icuBeds.currentUsageTotal,0.8301203358357738
actuals.vaccinationsCompleted,actuals.positiveTests,0.8292973841484589
actuals.icuBeds.currentUsageCovid,actuals.icuBeds.currentUsageTotal,0.8200203319217082
actuals.icuBeds.capacity,actuals.hospitalBeds.capacity,0.8101977376874587
actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,0.8050581013099629
actuals.negativeTests,actuals.contactTracers,0.7978747277623152
actuals.cases,actuals.hospitalBeds.capacity,0.704882158896607
actuals.hospitalBeds.capacity,actuals.vaccinationsInitiated,0.6908371489435915
actuals.hospitalBeds.capacity,actuals.vaccinesDistributed,0.6878891601420277
actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.currentUsageTotal,0.6694263555532061
