,date,country,state,fips,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,riskLevels.caseDensity,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,metrics.bedsWithCovidPatientsRatio,actuals.hospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.canCommunityLevel
540,8/23/21,US,AK,2,iso1:us#iso2:us-ak,83581,397,131534,2663834,235,1594,1038,130,123,93,34,1112,895645,389663,341079,0.073,65.9,0.1,1.11,0.1,0.76,3,0.533,0.466,0,717197,3,3,0,0,461.2,0.082,116,15.9,2
541,8/24/21,US,AK,2,iso1:us#iso2:us-ak,84174,410,132426,2673669,235,1449,973,131,124,103,39,593,895645,390953,342075,0.075,68.7,0.09,1.1,0.1,0.83,3,0.534,0.468,13,720003,3,3,0,0,480.9,0.09,121,16.5,2
542,8/25/21,US,AK,2,iso1:us#iso2:us-ak,84794,421,133270,2682974,235,1641,1117,128,126,102,35,620,898425,391775,342651,0.077,67.9,0.09,1.1,0.1,0.81,3,0.536,0.468,11,721608,3,3,0,0,475.3,0.078,118,16.1,2
543,8/26/21,US,AK,2,iso1:us#iso2:us-ak,85521,421,134103,2693241,235,1641,1146,156,123,97,37,727,917465,392662,343274,0.078,68.8,0.09,1.09,0.1,0.79,3,0.537,0.469,0,723342,3,3,0,0,481.3,0.095,134,18.3,2
544,8/27/21,US,AK,2,iso1:us#iso2:us-ak,86055,421,134871,2702997,235,1656,1132,155,121,99,41,534,927345,393512,343905,0.078,70,0.09,1.09,0.1,0.82,3,0.538,0.47,0,724964,3,3,0,0,490.2,0.094,127,17.4,2
545,8/28/21,US,AK,2,iso1:us#iso2:us-ak,86055,421,135337,2707436,235,1637,1125,154,125,104,38,0,929945,394238,344325,0.08,70.3,0.09,1.08,0.1,0.83,3,0.539,0.471,0,726501,3,3,0,0,491.8,0.094,131,17.9,2
546,8/29/21,US,AK,2,iso1:us#iso2:us-ak,86055,421,135836,2712509,235,1632,1091,154,123,100,37,0,930085,394485,344466,0.081,70.5,0.09,1.08,0.1,0.81,3,0.539,0.471,0,726856,3,3,0,0,493.5,0.094,135,18.5,2
547,8/30/21,US,AK,2,iso1:us#iso2:us-ak,87203,421,136841,2724936,235,1430,967,158,120,100,34,1148,930085,396069,345090,0.08,70.7,0.09,1.08,0.1,0.83,3,0.541,0.472,0,729517,3,3,0,0,495.1,0.11,141,19.3,2
548,8/31/21,US,AK,2,iso1:us#iso2:us-ak,87842,427,137836,2736737,235,1467,1012,175,122,103,42,639,933585,396543,345364,0.079,71.6,0.09,1.08,0.1,0.84,3,0.542,0.472,6,730407,3,3,0,0,501.4,0.119,152,20.8,2
549,9/1/21,US,AK,2,iso1:us#iso2:us-ak,88633,431,138707,2746344,235,1655,1136,181,121,106,40,791,957905,397332,345826,0.079,75,0.09,1.08,0.1,0.88,3,0.543,0.473,4,731751,3,3,0,0,524.8,0.109,159,21.7,2
550,9/2/21,US,AK,2,iso1:us#iso2:us-ak,89345,431,139583,2757066,235,1668,1149,176,117,100,36,712,963195,398263,346399,0.079,74.7,0.09,1.08,0.1,0.85,3,0.544,0.474,0,733429,3,3,0,0,522.7,0.106,148,20.2,2
551,9/3/21,US,AK,2,iso1:us#iso2:us-ak,89927,431,140457,2765237,235,1630,1109,176,122,101,36,582,974085,399260,347081,0.082,75.6,0.08,1.09,0.1,0.83,5,0.546,0.474,0,735293,5,3,0,0,529.3,0.108,153,20.9,2
552,9/4/21,US,AK,2,iso1:us#iso2:us-ak,89927,431,140938,2769412,235,1606,1082,179,122,105,34,0,981175,400061,347597,0.083,78.5,0.08,1.09,0.1,0.86,5,0.547,0.475,0,736809,5,3,0,0,549.7,0.111,154,21.1,2
553,9/5/21,US,AK,2,iso1:us#iso2:us-ak,89927,431,141395,2773237,235,1594,1061,184,118,96,33,0,980975,400865,348055,0.084,81.4,0.08,1.1,0.1,0.81,5,0.548,0.476,0,738399,5,3,0,0,570,0.115,163,22.3,2
554,9/6/21,US,AK,2,iso1:us#iso2:us-ak,89927,431,141958,2778514,235,1387,947,189,121,98,37,0,980975,401470,348300,0.087,84.3,0.12,1.1,0.1,0.81,5,0.549,0.476,0,739446,5,3,0,0,590.4,0.136,177,24.2,2
